"filename", "language", "Dart", "comment", "blank", "total"
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/colors.dart", "Dart", 47, 1, 11, 59
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/data_loader.dart", "Dart", 125, 0, 22, 147
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/request_app_review.dart", "Dart", 23, 18, 4, 45
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/screen_manager.dart", "Dart", 213, 1, 21, 235
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/size_config.dart", "Dart", 26, 0, 4, 30
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/ui_components.dart", "Dart", 268, 5, 26, 299
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/add_event_dialog.dart", "Dart", 791, 11, 41, 843
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/add_template_dialog.dart", "Dart", 359, 2, 48, 409
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/arbeit_stats_page.dart", "Dart", 1104, 45, 87, 1236
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/calendar_data_manager.dart", "Dart", 160, 7, 35, 202
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/calendar_page.dart", "Dart", 1922, 74, 144, 2140
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/code_share_page.dart", "Dart", 693, 0, 37, 730
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/daily_view_page.dart", "Dart", 1336, 16, 74, 1426
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/scanner_page.dart", "Dart", 112, 20, 7, 139
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/schedule_broadcast_page.dart", "Dart", 732, 32, 35, 799
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/tag_and_template_page.dart", "Dart", 1189, 6, 59, 1254
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/time_input_page.dart", "Dart", 276, 0, 16, 292
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/university_schedule.dart", "Dart", 455, 25, 20, 500
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/attendance_dialog.dart", "Dart", 428, 0, 38, 466
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/bottom_bar.dart", "Dart", 62, 5, 5, 72
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/burger_menu.dart", "Dart", 369, 1, 27, 397
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/eyecatch_page.dart", "Dart", 160, 3, 24, 187
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/loading.dart", "Dart", 50, 0, 8, 58
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/logo_and_title.dart", "Dart", 43, 1, 5, 49
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/menu_appbar.dart", "Dart", 299, 0, 26, 325
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/navigation_babble.dart", "Dart", 13, 0, 4, 17
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/plain_appbar.dart", "Dart", 338, 0, 30, 368
"/Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/timeline_view.dart", "Dart", 439, 1, 69, 509
