Date : 2024-09-21 17:21:23
Directory : /Users/ryotarotakatsu/development/wase_dule/lib
Total : 134 files,  40360 codes, 1216 comments, 3483 blanks, all 45059 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        124 |     39,727 |      1,153 |      3,380 |     44,260 |
| JavaScript |         10 |        633 |         63 |        103 |        799 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        134 |     40,360 |      1,216 |      3,483 |     45,059 |
| . (Files)                                                                                                                      |          2 |      2,870 |         81 |        188 |      3,139 |
| backend                                                                                                                        |         51 |      8,249 |        560 |        952 |      9,761 |
| backend/DB                                                                                                                     |         26 |      4,743 |        319 |        589 |      5,651 |
| backend/DB (Files)                                                                                                             |          2 |        159 |         16 |         30 |        205 |
| backend/DB/handler                                                                                                             |         11 |      2,550 |        222 |        315 |      3,087 |
| backend/DB/isar_collection                                                                                                     |          3 |      1,846 |         13 |        210 |      2,069 |
| backend/DB/models                                                                                                              |         10 |        188 |         68 |         34 |        290 |
| backend/firebase                                                                                                               |          3 |        280 |         39 |         38 |        357 |
| backend/notify                                                                                                                 |          3 |        906 |         45 |         89 |      1,040 |
| backend/service                                                                                                                |         19 |      2,320 |        157 |        236 |      2,713 |
| backend/service (Files)                                                                                                        |          9 |      1,687 |         94 |        133 |      1,914 |
| backend/service/js                                                                                                             |         10 |        633 |         63 |        103 |        799 |
| frontend                                                                                                                       |         76 |     28,312 |        564 |      2,291 |     31,167 |
| frontend/assist_files                                                                                                          |          6 |        702 |         25 |         88 |        815 |
| frontend/screens                                                                                                               |         70 |     27,610 |        539 |      2,203 |     30,352 |
| frontend/screens/calendar_page                                                                                                 |         12 |      9,129 |        238 |        603 |      9,970 |
| frontend/screens/common                                                                                                        |         11 |      2,664 |         11 |        262 |      2,937 |
| frontend/screens/map_page                                                                                                      |          2 |      1,100 |         13 |         59 |      1,172 |
| frontend/screens/menu_pages                                                                                                    |          3 |        316 |          4 |         23 |        343 |
| frontend/screens/menu_pages (Files)                                                                                            |          1 |        115 |          0 |          9 |        124 |
| frontend/screens/menu_pages/sns_contents_page                                                                                  |          2 |        201 |          4 |         14 |        219 |
| frontend/screens/moodle_view_page                                                                                              |          1 |        159 |         12 |         16 |        187 |
| frontend/screens/my_grade_view_page                                                                                            |          1 |        112 |          5 |         12 |        129 |
| frontend/screens/mywaseda_view_page                                                                                            |          1 |         82 |          2 |          9 |         93 |
| frontend/screens/setting_page                                                                                                  |          7 |      1,825 |         20 |        146 |      1,991 |
| frontend/screens/task_page                                                                                                     |         10 |      3,314 |         84 |        255 |      3,653 |
| frontend/screens/timetable_page                                                                                                |         13 |      5,871 |         61 |        399 |      6,331 |
| frontend/screens/timetable_page/attend_record                                                                                  |          2 |        732 |          1 |         53 |        786 |
| frontend/screens/timetable_page/credit                                                                                         |          2 |        656 |          9 |         56 |        721 |
| frontend/screens/timetable_page/syllabus                                                                                       |          4 |      1,471 |          3 |        109 |      1,583 |
